state,year,week,cases_accum
Michoacán,2013,22,37.0
Morelos,2013,22,3.0
Nayarit,2013,22,0.0
Nuevo León,2013,22,11.0
Oaxaca,2013,22,0.0
Puebla,2013,22,0.0
Querétaro,2013,22,0.0
Quintana Roo,2013,22,0.0
San Luis Potosí,2013,22,0.0
Sinaloa,2013,22,10.0
Sonora,2013,22,34.0
Tabasco,2013,22,0.0
Tamaulipas,2013,22,0.0
Tlaxcala,2013,22,0.0
Veracruz,2013,22,0.0
Yucatán,2013,22,0.0
Zacatecas,2013,22,1.0
Aguascalientes,2013,23,0.0
Baja California,2013,23,309.0
Baja California Sur,2013,23,34.0
Campeche,2013,23,2.0
Coahuila,2013,23,135.0
Colima,2013,23,0.0
Chiapas,2013,23,0.0
Chihuahua,2013,23,2.0
Distrito Federal,2013,23,0.0
Durango,2013,23,0.0
Guanajuato,2013,23,4.0
Guerrero,2013,23,5.0
Hidalgo,2013,23,0.0
Jalisco,2013,23,1.0
México,2013,23,1.0
Michoacán,2013,23,41.0
Morelos,2013,23,3.0
Nayarit,2013,23,0.0
Nuevo León,2013,23,12.0
Oaxaca,2013,23,0.0
Puebla,2013,23,0.0
Querétaro,2013,23,0.0
Quintana Roo,2013,23,0.0
San Luis Potosí,2013,23,0.0
Sinaloa,2013,23,10.0
Sonora,2013,23,35.0
Tabasco,2013,23,0.0
Tamaulipas,2013,23,0.0
Tlaxcala,2013,23,0.0
Veracruz,2013,23,0.0
Yucatán,2013,23,0.0
Zacatecas,2013,23,1.0
Aguascalientes,2013,24,0.0
Baja California,2013,24,321.0
Baja California Sur,2013,24,35.0
Campeche,2013,24,2.0
Coahuila,2013,24,136.0
Colima,2013,24,0.0
Chiapas,2013,24,0.0
Chihuahua,2013,24,2.0
Distrito Federal,2013,24,0.0
Durango,2013,24,0.0
Guanajuato,2013,24,4.0
Guerrero,2013,24,5.0
Hidalgo,2013,24,0.0
Jalisco,2013,24,1.0
México,2013,24,1.0
Michoacán,2013,24,46.0
Morelos,2013,24,3.0
Nayarit,2013,24,0.0
Nuevo León,2013,24,12.0
Oaxaca,2013,24,0.0
Puebla,2013,24,0.0
Querétaro,2013,24,0.0
Quintana Roo,2013,24,0.0
San Luis Potosí,2013,24,0.0
Sinaloa,2013,24,10.0
Sonora,2013,24,37.0
Tabasco,2013,24,0.0
Tamaulipas,2013,24,0.0
Tlaxcala,2013,24,0.0
Veracruz,2013,24,0.0
Yucatán,2013,24,0.0
Zacatecas,2013,24,
Aguascalientes,2013,25,0.0
Baja California,2013,25,332.0
Baja California Sur,2013,25,37.0
Campeche,2013,25,2.0
